[3.4] 昔涟 | 哎呀别上当了 | 00:00:00,340 --> 00:00:02,820
[3.4] 昔涟 | 学成之后 | 00:12:04,820 --> 00:12:05,980
[3.4] 昔涟 | 我们就回埃利密县 | 00:12:05,980 --> 00:12:07,800
[3.4] 昔涟 | 保护村子的和平不受侵扰 | 00:12:07,800 --> 00:12:10,700
[3.4] 昔涟 | 虔诚的叩问会得到同等重量的回应 | 00:12:11,170 --> 00:12:15,780
[3.4] 昔涟 | 来吧 | 00:12:16,220 --> 00:12:17,300
[3.4] 昔涟 | 闭上眼 | 00:12:17,300 --> 00:12:18,380
[3.4] 昔涟 | 轻轻地打开神谕牌册 | 00:12:19,540 --> 00:12:22,099
[3.4] 昔涟 | 让你的思绪像河水上漂着的星星一样流淌 | 00:12:22,619 --> 00:12:27,779
[3.4] 昔涟 | 趁着萤火和微风 | 00:12:28,820 --> 00:12:30,420
[3.4] 昔涟 | 你们的命运也将流向同样的未来 | 00:12:31,580 --> 00:12:36,040
[3.4] 昔涟 | 现在来抽牌吧 | 00:12:36,480 --> 00:12:38,640
[3.4] 昔涟 | 呀没想到能得到如此多的回应 | 00:12:40,280 --> 00:12:44,820
[3.4] 昔涟 | 那就任意翻开神谕牌 | 00:12:45,680 --> 00:12:48,700
[3.4] 昔涟 | 看看未来将如何实现吧 | 00:12:48,700 --> 00:12:52,360
[3.4] 昔涟 | 知者排纳事 | 00:12:52,900 --> 00:12:55,460
[3.4] 昔涟 | 牵连起黄金之简的浪漫丝线 | 00:12:55,460 --> 00:12:58,080
[3.4] 昔涟 | 将众人的命运编织成一匹金灿灿的流丝 | 00:12:58,080 --> 00:13:02,660
[3.4] 昔涟 | 连 | 00:13:02,660 --> 00:13:03,260
[3.4] 昔涟 | 通向一个最为光辉烂漫的未来的牌面 | 00:13:03,260 --> 00:13:07,100
[3.4] 昔涟 | 这是门将 | 00:13:07,850 --> 00:13:09,150
[3.4] 昔涟 | 他能在万千门禁之中为人们指点出正确的道路 | 00:13:09,150 --> 00:13:14,170
[3.4] 昔涟 | 君王牌通常象征着纪律 | 00:13:14,690 --> 00:13:17,230
[3.4] 昔涟 | 权威和荣耀 | 00:13:17,230 --> 00:13:18,730
[3.4] 昔涟 | 但往往也和孤独战争划等号 | 00:13:18,730 --> 00:13:22,640
[3.4] 昔涟 | 哼姬克牌 | 00:13:22,640 --> 00:13:24,160
[3.4] 昔涟 | 这是最调皮的一张 | 00:13:25,200 --> 00:13:26,740
[3.4] 昔涟 | 他常常贴在其他牌的背后出现 | 00:13:26,740 --> 00:13:29,670
[3.4] 昔涟 | 擅长伪装成其他卡牌的模样 | 00:13:29,670 --> 00:13:32,330
[3.4] 昔涟 | 抽中他可不容易啊 | 00:13:32,330 --> 00:13:34,660
[3.4] 昔涟 | 仕女牌有点轻盈的分量 | 00:13:35,060 --> 00:13:38,360
[3.4] 昔涟 | 带着冰凉的安提莲花的香气 | 00:13:38,360 --> 00:13:41,360
[3.4] 昔涟 | 就像天上的繁星 | 00:13:41,360 --> 00:13:43,930
[3.4] 昔涟 | 它象征着新生和希望 | 00:13:44,410 --> 00:13:46,810
[3.4] 昔涟 | 却也容易让人联想到挫折 | 00:13:46,810 --> 00:13:49,350
[3.4] 昔涟 | 悲伤和空虚 | 00:13:49,350 --> 00:13:51,250
[3.4] 昔涟 | 小巧的医师牌 | 00:13:51,250 --> 00:13:53,425
[3.4] 昔涟 | 虽然是柔和的颜色 | 00:13:53,800 --> 00:13:55,620
[3.4] 昔涟 | 但其中蕴含的勇气不比任何一张牌少 | 00:13:55,620 --> 00:13:59,180
[3.4] 昔涟 | 甚至足以融化寒冷的坚冰 | 00:13:59,180 --> 00:14:02,010
[3.4] 昔涟 | 这就是有着大魔术师 | 00:14:02,290 --> 00:14:04,190
[3.4] 昔涟 | 大表演家睿智之左眼 | 00:14:04,190 --> 00:14:07,010
[3.4] 昔涟 | 瑟西斯的亵渎者等诸多称号的学士牌啦 | 00:14:07,010 --> 00:14:11,329
[3.4] 昔涟 | 救世主 | 00:14:11,329 --> 00:14:13,449
[3.4] 昔涟 | 在命运三相神谕的语境下 | 00:14:15,200 --> 00:14:17,660
[3.4] 昔涟 | 这张牌意味着协调和完美无缺 | 00:14:17,660 --> 00:14:21,660
[3.4] 昔涟 | 而且这也是所有神谕牌里唯一一张没有负面印象的 | 00:14:22,100 --> 00:14:28,380
[3.4] 昔涟 | 哎想什么呢 | 00:14:28,500 --> 00:14:30,600
[3.4] 昔涟 | 这就是你为自己抽出的牌面呀 | 00:14:30,600 --> 00:14:33,060
[3.4] 昔涟 | 也许对于真正的救世主 | 00:14:33,060 --> 00:14:36,170
[3.4] 昔涟 | 这些心愿只是沧海一粟 | 00:14:36,170 --> 00:14:39,030
[3.4] 昔涟 | 毕竟克法勒背负的是整个世界呢 | 00:14:39,559 --> 00:14:44,100
[3.4] 昔涟 | 嗯我也很好奇呢 | 00:14:44,100 --> 00:14:46,300
[3.4] 昔涟 | 不如他们是神域排中揭示的未来 | 00:14:46,300 --> 00:14:50,550
[3.4] 昔涟 | 换句话说是接下来你生命中会遇见的人 | 00:14:51,590 --> 00:14:56,230
[3.4] 昔涟 | 我们都很迷茫对吧 | 00:14:56,630 --> 00:14:59,090
[3.4] 昔涟 | 不如和命运聊聊 | 00:14:59,090 --> 00:15:01,050
[3.4] 昔涟 | 或许这样我们才能弄清自己是为了什么踏上旅途 | 00:15:01,050 --> 00:15:05,915
[3.4] 昔涟 | 还有一个人究竟要背负多少事物 | 00:15:06,820 --> 00:15:10,960
[3.4] 昔涟 | 才能够称得上救世主的称号呢 | 00:15:10,960 --> 00:15:14,420
[3.4] 昔涟 | 如何我能感觉到你内心的迷雾似乎已经散去些许了呢 | 00:15:15,169 --> 00:15:20,809
[3.4] 昔涟 | 当然可以 | 00:15:20,809 --> 00:15:22,360
[3.4] 昔涟 | 但为什么 | 00:15:22,360 --> 00:15:24,240
[3.4] 昔涟 | 既然这样 | 00:15:26,800 --> 00:15:28,400
[3.4] 昔涟 | 接下这份礼物吧 | 00:15:28,920 --> 00:15:30,240
[3.4] 昔涟 | 神域排承载岁月 | 00:15:31,320 --> 00:15:33,080
[3.4] 昔涟 | 受欧洛尼斯祝福 | 00:15:33,080 --> 00:15:35,600
