# 未匹配LAB文件 (116 个) - 疑似非昔涟台词
# 匹配阈值: 0.6

[0.182] chapter4_72_yinger_101
  SRT: 然后让他也成为这故事中浪漫的一笔我相信未来的每一个她都会做出和我同样的选择

[0.261] chapter4_50_cyrene_103
  LAB: 与其说「认识」，不如说是「记得」？
  SRT: 一如既往还记得吗

[0.262] side4_shitang_cyrene_110
  LAB: 在这永夜之帷包裹的村庄，梦会为幻想插上翅膀。在哀丽秘榭长大的孩子，生来就是浪漫的诗人。
  SRT: 万物消散在这场梦里你会醒来重新成为爱笑的孩子

[0.267] chapter4_72_cyrene_163
  LAB: 一、二、三、四、五、六、七♪
  SRT: 这就叫一石三鸟

[0.267] side4_shitang_cyrene_127
  LAB: 指引就交给我吧。走，我先带你去看看…迷境里的小餐馆，别有一番情调呢。
  SRT: 就把选择权交给我们吧让人向你证明

[0.267] vo_ambient_w4_v340_greeting_cyrene_127
  LAB: 想听故事吗？我有好多好多，可以一个个讲给你听。条件只有一个——要仔细听，好吗？
  SRT: 我们还有好多好多时间慢慢来

[0.270] side4_shitang_cyrene_139
  LAB: 嘻，那我帮你说：感谢大家的辛苦付出，尤其要感谢我们尊敬的店长哦！
  SRT: 谢谢您我们会注意的

[0.273] vo_ambient_w4_v340_greeting_cyrene_123
  LAB: 真有意思呢，你这么一说，人家都想去实地看看啦。只是，要你来当向导！
  SRT: 被你说的人家都开始想念那棵树了呀

[0.276] side4_shitang_cyrene_140
  LAB: 确实呢，要是菜单总不更新，客人们很快也会吃腻的。
  SRT: 是不会长大的少女

[0.276] side4_shitang_cyrene_173
  LAB: 像这样躲在一旁，远远地看着，时间反而会慢下来，甚至停下来。
  SRT: 这样一来

[0.279] side4_shitang_cyrene_118
  LAB: 「它们等呀等，终于有一天，迷境入口传来了脚步声！妖精们纷纷竖起了耳朵……」
  SRT: 还有迷路迷境的小妖精们

[0.280] vo_ambient_w4_v340_greeting_cyrene_122
  LAB: 这片麦田可是我们的宝贝，不能随便踩进去哦。会把希望踩坏的。
  SRT: 这里静悄悄的声音传不进来也传不出去在希林的记忆里

[0.286] archive_cyrene_3
  LAB: 人家可不喜欢道别。不如…留个悬念如何？如果想我了，就把这段回忆擦亮，我就会悄悄来到你的心里。约好了，不许忘记哦？
  SRT: 人家可不喜欢啊如果一串数字就能决定故事的结局

[0.286] chapter4_52_cyrene_103
  LAB: 眼下疑点重重，这算是为数不多的幸运。只是……
  SRT: 是不是

[0.286] side4_shitang_cyrene_150
  LAB: 要搬运这个，是有点太为难妖精们了，我们帮帮忙吧。
  SRT: 就在这边太久没去拜访小妖精们

[0.286] vo_ambient_w4_v340_greeting_cyrene_119
  LAB: 风车转呀转，转得好慢好慢，仿佛连时间也停下来了呢……
  SRT: 我们还有好多好多时间慢慢来

[0.289] archive_cyrene_7
  LAB: 能在梦里听见朦胧的神谕，还在它的指引下前行…人家也觉得很神奇呢。原来，那从来不是他人施予的奇迹，而是内心深处的自我呀♪
  SRT: 因为自幼就能听见朦胧的神谕村子里的人都说我是未来的岁月祭司

[0.293] chapter4_51_cyrene_140
  LAB: 这种事应该不会发生。我想，多半是有第三者插足，扰乱了局势……
  SRT: 我们怎么可能让这种事发生呢当然了

[0.294] vo_ambient_w4_v380_broadcast_cyrene_101
  LAB: 小小一只的奇美拉，快快在爱里长大吧♪
  SRT: 那颗小小的种子也长成高高的大树了呢

[0.296] chapter4_41_cyrene_226
  LAB: 「灾厄」…难道是传闻中的「灾厄」三泰坦么？
  SRT: 难道是靡靡的音响

[0.296] chapter4_52_cyrene_168
  LAB: 也是。这种小事，她应该没理由向我们隐瞒。
  SRT: 也是我们要前往的岁月

[0.296] chapter4_69_cyrene_106
  LAB: 我也一样。三千万次启程，三千万次告别。
  SRT: 上一次启程时也是在这里

[0.298] side4_shitang_cyrene_142
  LAB: 把种子撒进土里，安静等它发芽，最后结出沉甸甸的果实…收获真是件开心事呀。
  SRT: 把所有种子都收在了最初的果实里

[0.298] side4_shitang_cyrene_180
  LAB: 就像飘落在湖面的思绪，荡起阵阵涟漪，回过神来，只留下一张现实的脸庞。
  SRT: 你会在往昔的涟漪里看见我留下的足迹

[0.300] archive_cyrene_26
  LAB: 举手，我也会「魔术技巧」！看好咯，别眨眼…锵锵——送你一朵盛开的花♪
  SRT: 我会写下爱是一朵清白的花

[0.300] chapter4_41_cyrene_140
  LAB: 喔，已读不回啊，让人有点伤心呢。
  SRT: 还不止一个人呢

[0.300] chapter4_41_cyrene_145
  LAB: 有这种地方吗？记忆里好像是有的，掉进去很深很深……
  SRT: 那边这段记忆里他好像在和黑糖女士聊天呢

[0.300] chapter4_51_cyrene_119
  LAB: 好吧，听你的~「闭目养神」。
  SRT: 好啦好啦会配合你的

[0.300] side4_shitang_cyrene_128
  LAB: 这边这边，大家已经在布置场地啦。
  SRT: 人家已经帮你

[0.302] vo_ambient_w4_v340_greeting_cyrene_112
  LAB: 把种子埋进土里，等待它发芽，开出软软的花，就像是在守候一个小小的奇迹。
  SRT: 同一颗种子在不同的土壤里会开出相似而不同的花

[0.303] chapter4_52_cyrene_164
  LAB: 好呀，那玩累了记得回来哦，人家就在这边等你♪
  SRT: 接下来人家就要带上这份力量

[0.305] chapter4_69_cyrene_107
  LAB: 那些沉重的「记忆」，都将成为新世界萌芽的土壤。而这一次，我们会让它开出不一样的花。
  SRT: 同一颗种子在不同的土壤里会开出相似而不同的花

[0.308] side4_shitang_cyrene_146
  LAB: 我也有点困困的，该准备休息啦。
  SRT: 我们就做好反抗命运的准备了

[0.308] vo_ambient_w4_v340_greeting_cyrene_115
  LAB: 呀，我可以抓紧你吗…大地兽不会突然跑起来，把人家甩出去吧？
  SRT: 快醒醒呀要是再不起来人家只能

[0.311] side4_shitang_cyrene_166
  LAB: 怎么了？充满心事的样子。明明是宴会的高潮，却一个人走到安静的角落……
  SRT: 明明是宴会的主角克吕德拉居不在吗

[0.311] side4_shitang_cyrene_169
  LAB: 那，可以待在你身边吗？我也喜欢独处，就这样静静的，应该不会打扰你？
  SRT: 那以我的审美应该会小小的修改一笔吧

[0.312] chapter4_52_cyrene_166
  LAB: …果然，灵水盆和涡心的连通失效了呀。
  SRT: 果然冥冥之中神明在聆听内心的声音呀

[0.312] vo_ambient_w4_v340_greeting_cyrene_109
  LAB: 嗯…哪里去了呢？偷偷躲在哪个小角落里，等着我去找呢？
  SRT: 消失在世界的小角落里

[0.316] chapter4_41_cyrene_176
  LAB: 嗯…只是少女的直觉，未必会成真哦。
  SRT: 我的直觉吗

[0.316] chapter4_74_cyrene_117
  LAB: 在「爱」的充盈下，挥洒光吧。
  SRT: 因你而在的下一

[0.316] side4_shitang_cyrene_153
  LAB: 偷偷尝一口，应该不会添麻烦吧？
  SRT: 一定不会发生

[0.316] vo_ambient_w4_v340_greeting_cyrene_111
  LAB: 好可爱的奇美拉！得给它起个甜甜的名字才行，你有什么主意吗？
  SRT: 真是个好长又不可爱的名字

[0.320] chapter4_41_cyrene_148
  LAB: 让人忍不住想哼起儿时的歌谣呢……
  SRT: 回想起来当时听见的话是

[0.320] side4_shitang_cyrene_156
  LAB: 哎呀，背叛来得如此决绝，好令人受伤呀……
  SRT: 原来如此人家理解了

[0.333] chapter4_42_cyrene_130
  LAB: 白厄……
  SRT: 可是白垩

[0.333] chapter4_44_cyrene_102
  LAB: 白厄……
  SRT: 可是白垩

[0.333] chapter4_52_cyrene_158
  LAB: 还真像模像样。
  SRT: 就像以前一样

[0.333] chapter4_73_cyrene_108
  LAB: 可她说的没错。世上就是有相似的花儿呀。
  SRT: 就是沉甸甸的呀

[0.340] vo_ambient_w4_v340_greeting_cyrene_118
  LAB: 哦，你喜欢这里的风景呀？让我也好好看看，记下你喜欢的地方~
  SRT: 还是熟悉的风景呀要说艾利密歇最让人留恋的地方

[0.345] chapter4_72_cyrene_119
  LAB: 「『哀丽秘榭』这个名字，明明取自众神的哀伤……」
  SRT: 这个名字冷冰冰的

[0.348] chapter4_62_mem_118
  LAB: 我也是！但当务之急，先甩开这些忆灵。
  SRT: 我带来的这些记忆

[0.348] side4_shitang_cyrene_101
  LAB: 不管看多少次，都觉得好漂亮呢……
  SRT: 会不会也觉得它很美呢

[0.353] chapter4_68_cyrene_106
  LAB: 最初的「PhiLia」。
  SRT: 最初的菲利亚

[0.353] side4_shitang_cyrene_125
  LAB: …那也在「严重」的范围内啦。
  SRT: 那也很重要

[0.353] vo_ambient_w4_v340_greeting_cyrene_114
  LAB: 嗯？这么没防备地睡着了…可是会被坏人盯上的，要小心哦。
  SRT: 这怎么可能啊啊这是小心

[0.357] chapter4_51_cyrene_138
  LAB: 虽然不愿承认，但这种可能性确实存在……
  SRT: 虽然看不见但人家有种感觉

[0.357] chapter4_74_cyrene_115
  LAB: 「毁灭」的阴影，由「记忆」来驱散。
  SRT: 我得以汇聚被毁灭侵染的记忆

[0.359] chapter4_41_cyrene_151
  LAB: 每次画到海的尽头就搁下笔了，完全想象不出那之外的世界是什么模样呢。
  SRT: 世界是什么样子呢

[0.364] side4_shitang_cyrene_133
  LAB: 比预想中更顺利呢。既然大家都准备好了……
  SRT: 准备好了吗

[0.364] vo_ambient_w4_v340_greeting_cyrene_129
  LAB: （均匀的呼吸声）
  SRT: 记得深呼吸

[0.370] chapter4_51_cyrene_164
  LAB: 如果有时间，要不要也接触一下？
  SRT: 如果有机会人家也想再看一次呢

[0.370] chapter4_51_cyrene_177
  LAB: 抱歉啦，让我们再逛逛这个美丽的地方吧～
  SRT: 我告别这美丽的世界

[0.375] chapter4_50_cyrene_114
  LAB: 奇怪，没说过吗？嘻，那就当是人家自己的心愿吧！
  SRT: 听着很奇怪吧明明是自己的事

[0.375] chapter4_52_cyrene_117
  LAB: 原来是「那位大人」呀……
  SRT: 这是那位凯撒

[0.375] side4_shitang_cyrene_103
  LAB: 这边这边，仔细瞧——
  SRT: 怎么会在这仔细一看

[0.381] archive_cyrene_6
  LAB: 能在梦里听见朦胧的神谕，还在它的指引下前行…人家也觉得很神奇呢。
  SRT: 因为自幼就能听见朦胧的神谕

[0.387] vo_ambient_w4_v340_greeting_cyrene_126
  LAB: 风铃叮叮当当，就像是怦怦的心跳，好浪漫呀。
  SRT: 真是听着就让人家怦怦心跳呀

[0.400] chapter4_33_cyrenely_104
  LAB: 嘻……
  SRT: 嘻嘻哈哈

[0.400] chapter4_73_cyrene_133
  LAB: 缇里西庇俄丝女士？
  SRT: 在提里希庇俄斯

[0.400] chapter4_73_cyrene_157
  LAB: 看——
  SRT: 看见你在

[0.400] chapter4_76_cyrene_107
  LAB: 嘻……
  SRT: 嘻嘻哈哈

[0.400] chapter4_77_cyrene_221
  LAB: 看……
  SRT: 看见你在

[0.414] side4_shitang_cyrene_175
  LAB: 就这样为故事收尾，应该还不错吧？
  SRT: 但这样的花朵应该不能被称作爱吧

[0.417] side4_shitang_cyrene_134
  LAB: 那就立马开始第一次营业吧。看你了，店长。
  SRT: 那就赶紧开始吧

[0.424] side4_shitang_cyrene_182
  LAB: 而在那一成不变的守候中，一定会有奇迹发生……
  SRT: 但是啊也许在一成不变的讲述中

[0.429] chapter4_68_cyrene_136
  LAB: 你是…「三月七」？
  SRT: 莫非你是3月7

[0.429] chapter4_72_cyrene_115
  LAB: 「孩子，大声地哭吧。将你的声音，带给欧洛尼斯。」
  SRT: 这声音是欧洛尼斯

[0.429] chapter4_73_cyrene_145
  LAB: 「负世」的另一半……
  SRT: 另一半在哪里

[0.429] chapter4_76_cyrene_113
  LAB: 自由，多美妙的词语呀。
  SRT: 多美的结局

[0.429] side4_shitang_cyrene_157
  LAB: 嘻，但既然都被揭发了，那人家就不客气咯？
  SRT: 既然如此人家就不会害怕

[0.438] side4_shitang_cyrene_183
  LAB: 就像最后，我们等来了你呀♪
  SRT: 就像他一直对我们做的只是反过来可别忘了呀

[0.444] chapter4_41_cyrene_112
  LAB: 有种似曾相识的感觉呢♪
  SRT: 但人家有种感觉

[0.444] chapter4_50_cyrene_105
  LAB: 这是什么…新奇的搭讪技巧吗？
  SRT: 这是什么意思

[0.444] chapter4_51_cyrene_167
  LAB: 嗯？那如果……
  SRT: 如果想占卜

[0.444] chapter4_67_mem_109
  LAB: 对、对好焦再拍！
  SRT: 对不对

